player_name,position,jersey_number,line,pp_unit,team,source
Egor Zamula,D,5,3,,PHI,dailyfaceoff
Rickard Rakell,F,67,1,PP1,PIT,dailyfaceoff
Sidney Crosby,F,87,1,PP1,PIT,dailyfaceoff
Bryan Rust,F,17,1,PP1,PIT,dailyfaceoff
Ville Koivunen,F,41,2,PP2,PIT,dailyfaceoff
Evgeni Malkin,F,71,2,PP1,PIT,dailyfaceoff
Anthony Mantha,F,39,2,PP2,PIT,dailyfaceoff
Filip Hallander,F,,3,PP2,PIT,dailyfaceoff
Tommy Novak,F,18,3,,PIT,dailyfaceoff
Philip Tomasino,F,53,3,PP2,PIT,dailyfaceoff
Connor Dewar,F,19,4,,PIT,dailyfaceoff
Blake Lizotte,F,46,4,,PIT,dailyfaceoff
Justin Brazeau,F,16,4,,PIT,dailyfaceoff
Parker Wotherspoon,D,28,1,,PIT,dailyfaceoff
Erik Karlsson,D,65,1,PP1,PIT,dailyfaceoff
Kris Letang,D,58,2,PP2,PIT,dailyfaceoff
Matt Dumba,D,24,2,,PIT,dailyfaceoff
Owen Pickering,D,38,3,,PIT,dailyfaceoff
Harrison Brunicke,D,2024,3,,PIT,dailyfaceoff
Jeff Skinner,F,53,1,PP2,SJS,dailyfaceoff
Macklin Celebrini,F,71,1,PP1,SJS,dailyfaceoff
Will Smith,F,2,1,PP1,SJS,dailyfaceoff
William Eklund,F,72,2,PP1,SJS,dailyfaceoff
Alex Wennberg,F,21,2,PP2,SJS,dailyfaceoff
Tyler Toffoli,F,73,2,PP1,SJS,dailyfaceoff
Philipp Kurashev,F,96,3,,SJS,dailyfaceoff
Michael Misa,F,77,3,PP2,SJS,dailyfaceoff
Collin Graf,F,51,3,,SJS,dailyfaceoff
Barclay Goodrow,F,23,4,,SJS,dailyfaceoff
Adam Gaudette,F,81,4,PP2,SJS,dailyfaceoff
Ty Dellandrea,F,10,4,,SJS,dailyfaceoff
Mario Ferraro,D,38,1,,SJS,dailyfaceoff
Timothy Liljegren,D,37,1,,SJS,dailyfaceoff
Nick Leddy,D,4,2,,SJS,dailyfaceoff
John Klingberg,D,3,2,PP1,SJS,dailyfaceoff
Shakir Mukhamadullin,D,85,3,,SJS,dailyfaceoff
Dmitry Orlov,D,9,3,PP2,SJS,dailyfaceoff
Jared McCann,F,19,1,PP1,SEA,dailyfaceoff
Matty Beniers,F,10,1,PP1,SEA,dailyfaceoff
Jordan Eberle,F,7,1,PP1,SEA,dailyfaceoff
Jaden Schwartz,F,17,2,PP1,SEA,dailyfaceoff
Shane Wright,F,51,2,PP2,SEA,dailyfaceoff
Ryan Winterton,F,,2,,SEA,dailyfaceoff
Mason Marchment,F,27,3,,SEA,dailyfaceoff
Chandler Stephenson,F,9,3,PP2,SEA,dailyfaceoff
Eeli Tolvanen,F,20,3,PP2,SEA,dailyfaceoff
Tye Kartye,F,12,4,,SEA,dailyfaceoff
Frederick Gaudreau,F,89,4,,SEA,dailyfaceoff
Jani Nyman,F,38,4,PP2,SEA,dailyfaceoff
Vince Dunn,D,29,1,PP1,SEA,dailyfaceoff
Adam Larsson,D,6,1,,SEA,dailyfaceoff
Jamie Oleksiak,D,24,2,,SEA,dailyfaceoff
Brandon Montour,D,62,2,PP2,SEA,dailyfaceoff
Ryan Lindgren,D,55,3,,SEA,dailyfaceoff
Cale Fleury,D,,3,,SEA,dailyfaceoff
Pavel Buchnevich,F,89,1,PP1,STL,dailyfaceoff
Robert Thomas,F,18,1,PP1,STL,dailyfaceoff
Jimmy Snuggerud,F,21,1,PP1,STL,dailyfaceoff
Dylan Holloway,F,81,2,PP2,STL,dailyfaceoff
Pius Suter,F,22,2,,STL,dailyfaceoff
Jordan Kyrou,F,25,2,PP2,STL,dailyfaceoff
Jake Neighbours,F,63,3,PP2,STL,dailyfaceoff
Brayden Schenn,F,10,3,PP1,STL,dailyfaceoff
Mathieu Joseph,F,71,3,,STL,dailyfaceoff
Alexey Toropchenko,F,13,4,,STL,dailyfaceoff
Nick Bjugstad,F,77,4,,STL,dailyfaceoff
Alexandre Texier,F,,4,,STL,dailyfaceoff
Cam Fowler,D,17,1,PP1,STL,dailyfaceoff
Colton Parayko,D,55,1,,STL,dailyfaceoff
Philip Broberg,D,6,2,,STL,dailyfaceoff
Justin Faulk,D,72,2,PP2,STL,dailyfaceoff
Tyler Tucker,D,75,3,,STL,dailyfaceoff
Logan Mailloux,D,23,3,PP2,STL,dailyfaceoff
Jake Guentzel,F,59,1,PP1,TBL,dailyfaceoff
Brayden Point,F,21,1,PP1,TBL,dailyfaceoff
Nikita Kucherov,F,86,1,PP1,TBL,dailyfaceoff
